table,input_features,sample_rows,dev_rows,oot_rows,d01_remain,d01_empty_drop,d01_corr_drop,d01_iv_drop,d01_total_drop,d02_psi_drop,final_remain,elapsed_seconds
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_final_2tqhk_reptim_360d_con_feature_feature,28,486732,365051,121681,6,7,13,2,22,0,6,65.809
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_12his_rep_pressure_trend_df_feature,32,486732,365051,121681,9,0,23,0,23,0,9,73.391
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_30light_cross_heavy_inner_behaviour_df_feature,326,486732,365051,121681,111,88,120,7,215,0,111,255.646
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_df_feature,370,486732,365051,121681,35,181,154,0,335,2,33,255.388
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,87,486732,365051,121681,17,42,28,0,70,0,17,94.888
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_new_df_feature,174,486732,365051,121681,24,78,72,0,150,0,24,170.218
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_continue_ovd_days_df_feature,2,486732,365051,121681,1,0,0,1,1,0,1,46.794
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_ability_derived_df_feature,115,486732,365051,121681,68,0,33,14,47,5,63,159.034
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_ability_derived_v2_df_feature,110,486732,365051,121681,64,0,35,11,46,1,63,150.992
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_ability_df_feature,136,486732,365051,121681,33,1,23,79,103,2,31,246.304
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_ability_v2_df_feature,111,486732,365051,121681,22,1,12,76,89,0,22,200.475
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_will_pressure_derived_df_feature,244,486732,365051,121681,38,55,139,12,206,0,38,235.937
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_will_pressure_derived_jqh_df_feature,40,486732,365051,121681,9,5,26,0,31,0,9,78.301
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_will_pressure_derived_new_df_feature,24,486732,365051,121681,6,0,18,0,18,0,6,76.175
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_will_pressure_df_feature,413,486732,365051,121681,72,11,137,193,341,0,72,641.422
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_will_pressure_jqh_df_feature,125,486732,365051,121681,62,5,56,2,63,0,62,180.373
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_rep_will_pressure_new_df_feature,32,486732,365051,121681,13,0,17,2,19,0,13,94.694
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12payment_info_df_feature,49,486732,365051,121681,16,1,30,2,33,0,16,91.931
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_14ftr_rep_pressure_df_feature,109,486732,365051,121681,17,5,63,24,92,0,17,173.792
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_14ftr_rep_pressure_trend_df_feature,341,486732,365051,121681,53,0,288,0,288,0,53,554.559
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_16draw_repay_crossed_df_feature,402,486732,365051,121681,43,42,179,138,359,0,43,521.089
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_16draw_repay_crossed_jqh_df_feature,87,486732,365051,121681,25,0,62,0,62,0,25,112.518
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_16draw_repay_crossed_new_df_feature,189,486732,365051,121681,16,0,148,25,173,0,16,303.234
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_22order_calculate_stage_order_info_df_feature,109,486732,365051,121681,21,15,28,45,88,0,21,123.453
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_22pip_heavy_cross_info_df_feature,150,486732,365051,121681,58,0,92,0,92,6,52,271.181
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_23changzhai_trend_df_feature,70,486732,365051,121681,35,0,35,0,35,0,35,127.525
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,376,486732,365051,121681,152,52,167,5,224,0,152,425.279
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_26_lending_costs_detail_df_feature,244,486732,365051,121681,27,84,133,0,217,0,27,221.62
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_28lbs_info_df_feature,212,486732,365051,121681,94,0,115,3,118,0,94,137.675
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_31light_credit_trade_cross_df_feature,764,486732,365051,121681,150,417,197,0,614,0,150,320.064
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_5account_extra_df_feature,11,486732,365051,121681,4,0,7,0,7,0,4,61.598
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,355,486732,365051,121681,90,10,169,86,265,0,90,536.832
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_jqh_df_feature,70,486732,365051,121681,38,0,30,2,32,0,38,122.683
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_new_df_feature,120,486732,365051,121681,36,0,80,4,84,0,36,226.479
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_8active_dau_feature,17,486732,365051,121681,7,0,9,1,10,0,7,66.888
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_8active_device_df_feature,11,486732,365051,121681,1,1,0,9,10,0,1,62.37
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_8active_device_extra_1_df_feature,9,486732,365051,121681,5,4,0,0,4,0,5,44.169
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_8active_device_extra_2_df_feature,11,486732,365051,121681,8,2,1,0,3,0,8,48.539
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_8active_page_view_n_click_cnt_feature,35,486732,365051,121681,7,0,11,17,28,0,7,87.8
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_ftr_rep_trend_time_series_df_feature,109,486732,365051,121681,31,1,77,0,78,0,31,126.36
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_his_apply_trend_time_series_df_feature,108,486732,365051,121681,27,0,81,0,81,0,27,131.649
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_his_rep_trend_time_series_df_feature,306,486732,365051,121681,95,0,205,6,211,0,95,488.142
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_rep_apply_summary_1_feature,318,486732,365051,121681,124,0,173,21,194,0,124,329.65
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_rep_apply_summary_2_feature,288,486732,365051,121681,67,0,149,72,221,0,67,251.228
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_rep_apply_summary_3_feature,234,486732,365051,121681,72,24,138,0,162,0,72,215.803
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_rep_apply_summary_4_feature,669,486732,365051,121681,197,24,418,30,472,1,196,688.942
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_repayment_deduct_info_df_feature,215,486732,365051,121681,78,1,136,0,137,0,78,244.56
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_used_lmt_trend_time_series_df_feature,96,486732,365051,121681,43,0,53,0,53,0,43,214.248
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_light_trans_inner_cross_behaviour_df_feature,161,486732,365051,121681,40,12,109,0,121,1,39,122.942
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_light_order_repay_crossed_new_df_feature,90,486732,365051,121681,21,0,61,8,69,0,21,139.776
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_light_rep_ability_new_df_feature,174,486732,365051,121681,70,0,97,7,104,0,70,838.832
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_light_rep_will_pressure_derived_new_df_feature,88,486732,365051,121681,24,0,64,0,64,0,24,73.493
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_off_dp_dz_inner_behavior_adj_amt_enhanced_aggregation_feature,4,486732,365051,121681,2,0,2,0,2,2,0,45.857
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_off_dp_dz_inner_behavior_aval_lmt_enhanced_aggregation_feature,20,486732,365051,121681,10,0,4,6,10,0,10,63.66
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_off_dp_dz_inner_behavior_order_enhanced_aggregation_feature,50,486732,365051,121681,16,0,32,2,34,0,16,93.886
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dh_model_15ai_call_record_feature,108,486732,365051,121681,46,0,52,10,62,0,46,75.629
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dh_model_final_13collection_call_info_di_feature,50,486732,365051,121681,0,10,0,40,50,0,0,91.88
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dh_model_final_13collection_call_info_trend_features_di_feature,183,486732,365051,121681,47,23,38,75,136,0,47,197.952
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dh_model_final_13collection_notes_di_feature,100,486732,365051,121681,0,45,0,55,100,0,0,120.19
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dh_model_final_13collection_notes_trend_features_feature,390,486732,365051,121681,122,0,104,164,268,0,122,406.038
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dh_model_final_telemarket_call_info_features_di_feature,31,486732,365051,121681,1,30,0,0,30,1,0,43.677
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_account_lmt_feature_sample_final_df_feature,184,486732,365051,121681,32,48,104,0,152,2,30,137.991
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_daily_dcp_trade_feature_info1_df_feature,902,486732,365051,121681,90,675,136,1,812,90,0,275.197
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_daily_dcp_trade_feature_info2_df_feature,863,486732,365051,121681,0,862,0,1,863,0,0,124.417
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_daily_dcp_trade_feature_info3_df_feature,502,486732,365051,121681,0,501,0,1,502,0,0,86.602
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_daily_dcp_trade_feature_info4_df_feature,506,486732,365051,121681,0,505,0,1,506,0,0,100.603
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_daily_dcp_trade_feature_info5_df_feature,501,486732,365051,121681,0,500,0,1,501,0,0,88.718
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_daily_dcp_trade_feature_info6_df_feature,503,486732,365051,121681,0,502,0,1,503,0,0,81.567
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_daily_dcp_trade_feature_info7_df_feature,422,486732,365051,121681,0,421,0,1,422,0,0,77.902
ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_final_order_info_df_feature,743,486732,365051,121681,210,44,475,14,533,2,208,752.008
