output_feature,source_feature,source_table,table_index,table_alias,source_feature_count,is_duplicate_source_name,is_output_renamed,rename_reason
ord_apl_sum_prc_amt_90_day,ord_apl_sum_prc_amt_90_day,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,1,t2,1,False,False,
ord_apl_max_prc_amt_180_day,ord_apl_max_prc_amt_180_day,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,1,t2,1,False,False,
his_90_day_csh_apl_ord_cnt_his_rto,his_90_day_csh_apl_ord_cnt_his_rto,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,1,t2,1,False,False,
ord_apl_sum_prc_amt_360_day,ord_apl_sum_prc_amt_360_day,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,1,t2,1,False,False,
his_180_day_csh_apl_ord_cnt_his_rto,his_180_day_csh_apl_ord_cnt_his_rto,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,1,t2,1,False,False,
his_360_day_csh_apl_ord_cnt,his_360_day_csh_apl_ord_cnt,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,1,t2,1,False,False,
ord_apl_fal_cnt_his,ord_apl_fal_cnt_his,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,1,t2,1,False,False,
ord_apl_min_prc_amt_his,ord_apl_min_prc_amt_his,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,1,t2,1,False,False,
ddf_ato_fst_ord_crt_dte,ddf_ato_fst_ord_crt_dte,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,1,t2,1,False,False,
ddf_mdl_lst_ord_crt_dte,ddf_mdl_lst_ord_crt_dte,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,1,t2,1,False,False,
