feature,real_gain_mean,null_gain_percentile,null_percentile,null_importance_score,survives
ord_apl_sum_prc_amt_90_day,147778.35370000204,0.0,75.0,1.4777835370000205e+17,True
ord_apl_max_prc_amt_180_day,90017.11619027455,0.0,75.0,9.001711619027456e+16,True
unpaid_principal_future_light_add_heavy,51841.87816762924,0.0,75.0,5.184187816762924e+16,True
his_90_day_csh_apl_ord_cnt_his_rto,51565.686234792076,0.0,75.0,5.156568623479208e+16,True
d360_apl_ord_ddf_mdl_ord_crt_dte_min,51040.706742564835,0.0,75.0,5.104070674256483e+16,True
d180_apl_ord_days_cnt_all,43111.24490674337,0.0,75.0,4.311124490674337e+16,True
his_180_day_csh_apl_ord_cnt_his_rto,29707.180687904358,0.0,75.0,2.970718068790436e+16,True
ord_apl_sum_prc_amt_360_day,27389.303298950195,0.0,75.0,2.7389303298950196e+16,True
his_360_day_csh_apl_ord_cnt,24164.18687438965,0.0,75.0,2.416418687438965e+16,True
cnt_event_result_1_uid_recent_days_120,23728.98611030976,0.0,75.0,2.372898611030976e+16,True
dau_90d,10708.046558698019,0.0,75.0,1.070804655869802e+16,True
cnt_other_info_cash_uid_recent_days_30,10575.857214132944,0.0,75.0,1.0575857214132944e+16,True
d30_d60_apl_ord_cnt_rat,8738.032211939493,0.0,75.0,8738032211939493.0,True
cnt_avg_ord_span_30d,6643.919068813324,0.0,75.0,6643919068813324.0,True
his_720_day_csh_apl_ord_cnt_his_rto,4242.054069677989,0.0,75.0,4242054069677989.0,True
stg_pln_pay_off_sum_prc_amt_1m,3373.2565755844116,0.0,75.0,3373256575584411.5,True
rsk_avl_lmt_ch_les_10000_cnt_3m,3304.506000518799,0.0,75.0,3304506000518799.0,True
clk_cnt_14d,2536.91419394811,0.0,75.0,2536914193948110.0,True
d360_apl_ord_cnt_all,1554.2497316996257,0.0,75.0,1554249731699625.8,True
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,1495.065266609192,0.0,75.0,1495065266609192.0,True
rsk_avl_lmt_ch_les_500_cnt_12m,1386.8341019948323,0.0,75.0,1386834101994832.2,True
sum_avb_lmt_2m_v2,1307.986616452535,0.0,75.0,1307986616452535.0,True
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,1200.6118725140889,0.0,75.0,1200611872514089.0,True
pst_ord_apl_suc_max_prc_amt_180_day,1179.2695738474529,0.0,75.0,1179269573847453.0,True
cnt_avb_lmt_2m_v2,1169.679919242859,0.0,75.0,1169679919242859.0,True
stg_pln_max_rep_prc_1m_his,1106.555187066396,0.0,75.0,1106555187066396.0,True
d30_d360_suc_ord_prc_amt_avg_rat_all,874.4023424784342,0.0,75.0,874402342478434.2,True
ord_apl_fal_cnt_his,851.2319408257803,0.0,75.0,851231940825780.2,True
d90_aplord_suc_month_cnt,845.79301404953,0.0,75.0,845793014049530.0,True
stg_pln_sum_prc_amt_6m_12m_rto_ftr,795.5527538458506,0.0,75.0,795552753845850.6,True
ddf_6m_rep_dte_neg_7_crt_dt_max_prc_amt,782.5237070719401,0.0,75.0,782523707071940.1,True
avg_avl_lmt_lft_rep_prc_3m_cash_1m,770.7737204233805,0.0,75.0,770773720423380.5,True
d7_d360_suc_ord_prc_amt_avg_rat_all,744.6905434926351,0.0,75.0,744690543492635.1,True
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,680.1540247599283,0.0,75.0,680154024759928.4,True
ord_apl_min_prc_amt_his,679.9035997390747,0.0,75.0,679903599739074.8,True
max_avl_lmt_lft_rep_prc_1m_cash_3m,670.751633644104,0.0,75.0,670751633644104.0,True
ddf_ato_fst_ord_crt_dte,667.9654644727707,0.0,75.0,667965464472770.8,True
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,662.044302781423,0.0,75.0,662044302781423.0,True
rsk_avl_lmt_ch_les_1000_cnt_3m,621.4334017435709,0.0,75.0,621433401743571.0,True
d180_suc_ord_cnt_all,615.6309963862101,0.0,75.0,615630996386210.1,True
stg_pln_cnt_3m_ftr_adv_rto_all,595.0925140380859,0.0,75.0,595092514038086.0,True
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,565.0933658281962,0.0,75.0,565093365828196.1,True
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,548.5086348851522,0.0,75.0,548508634885152.25,True
rsk_avl_lmt_ch_les_5000_rate_1m,524.3327649434408,0.0,75.0,524332764943440.8,True
d720_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,486.7625338236491,0.0,75.0,486762533823649.1,True
ddf_1m_rep_dte_3_crt_dt_rep_prc_amt,463.48487663269043,0.0,75.0,463484876632690.44,True
used_rate_ch_grt_0p95_rate_1m,445.86579926808673,0.0,75.0,445865799268086.75,True
d360_apl_ord_ddf_mdl_ord_crt_dte_max,443.62423102060956,0.0,75.0,443624231020609.56,True
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,443.1270332336426,0.0,75.0,443127033233642.56,True
n_unique_other_info_event_type_credit,440.5866362253825,0.0,75.0,440586636225382.5,True
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,438.32546790440875,0.0,75.0,438325467904408.75,True
d30_d90_suc_ord_prc_amt_avg_rat_all,438.0250031153361,0.0,75.0,438025003115336.1,True
min_rsk_avl_lmt_12m_bt_ch,427.19776312510174,0.0,75.0,427197763125101.75,True
max_ddf_lag_crt_dte,423.1702750523885,0.0,75.0,423170275052388.5,True
ddf_mdl_lst_ord_crt_dte,399.6247138977051,0.0,75.0,399624713897705.06,True
ddf_3m_rep_dte_neg_3_crt_dt_max_prc_amt,389.56873830159503,0.0,75.0,389568738301595.06,True
percent_true_followup_code_other_call_mode_manual_30d,386.374667485555,0.0,75.0,386374667485555.0,True
credit_reject_unique_fund_cnt_6m,374.79237508773804,0.0,75.0,374792375087738.06,True
max_ddf_rep_tim_dte_ovd_pls_rep_12m,371.48969586690265,0.0,75.0,371489695866902.7,True
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,359.48159472147626,0.0,75.0,359481594721476.25,True
rsk_avl_lmt_ch_1m_les_500_cnt_3m,355.01397864023846,0.0,75.0,355013978640238.5,True
credit_unique_scene_cnt_12m,350.17168339093524,0.0,75.0,350171683390935.25,True
max_amt_other_info_manual_repay,340.1283651192983,0.0,75.0,340128365119298.3,True
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,336.2641073862712,0.0,75.0,336264107386271.2,True
mdt_lst_30d_90d_ord_cnt_typ_btch_rte,333.76022307078046,0.0,75.0,333760223070780.44,True
ddf_mdl_max_con_dau_dt_90d,316.21575085322064,0.0,75.0,316215750853220.6,True
d360_suc_ord_ddf_mdl_ord_crt_dte_min,313.4622344970703,0.0,75.0,313462234497070.3,True
d180_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,310.1779475212097,0.0,75.0,310177947521209.75,True
d15_suc_ord_prc_amt_avg_all,309.4953311284383,0.0,75.0,309495331128438.3,True
6m_used_lmt_first_der_median,309.377344250679,0.0,75.0,309377344250679.0,True
6thord_con_dsc_apply_amt_max,303.1265506744385,0.0,75.0,303126550674438.5,True
rsk_lmt_rate_ch_1m_grt_0p5_rate_24m,298.94051059087116,0.0,75.0,298940510590871.2,True
max_con_dau_7d,291.87221415837604,0.0,75.0,291872214158376.06,True
rsk_avl_lmt_ch_1m_les_500_cnt_12m,288.04979213078815,0.0,75.0,288049792130788.1,True
stg_pln_min_prc_amt_3m_ftr,285.2914071877797,0.0,75.0,285291407187779.75,True
ord_apl_cnt_07_12,271.19106012706953,0.0,75.0,271191060127069.53,True
m1_manual_rep_apl_suc_amt_sum,270.2373336156209,0.0,75.0,270237333615620.9,True
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,264.49403349558514,0.0,75.0,264494033495585.16,True
ai_call_cnt_21d,258.2244021097819,0.0,75.0,258224402109781.94,True
m6_stg_pln_pmt_not_eng_cnt_max,257.3031177520752,0.0,75.0,257303117752075.2,True
3m_used_lmt_second_der_stddev,252.47369273503622,0.0,75.0,252473692735036.22,True
m1_rep_apl_suc_amt_avg,251.04977893829346,0.0,75.0,251049778938293.47,True
percent_true_followup_code_wfjt_is_can_contact_person_yes_30d,251.04353268941244,0.0,75.0,251043532689412.44,True
d1095_aplord_fal_month_cnt,249.36002508799234,0.0,75.0,249360025087992.34,True
6m_used_lmt_first_der_min,244.6447436014811,0.0,75.0,244644743601481.12,True
abf_1y_inter_1m_count_up,243.78390900293985,0.0,75.0,243783909002939.84,True
m3_rep_apl_stg_pln_cnt_max,231.99283345540366,0.0,75.0,231992833455403.66,True
min_rsk_avl_lmt_3m_bt_ch,231.505899588267,0.0,75.0,231505899588267.0,True
m1_stg_pln_d0_manual_rep_apl_suc_cnt_rat,229.45254882176718,0.0,75.0,229452548821767.2,True
rsk_avl_lmt_ch_1m_les_10000_cnt_12m,228.75338776906332,0.0,75.0,228753387769063.3,True
min_avl_lmt_lft_rep_prc_2m_cash_3m,225.02008628845215,0.0,75.0,225020086288452.16,True
his_max_faqi_prc_amt_divide_max_due_pay_amt_sum_mon,221.583758354187,0.0,75.0,221583758354187.03,True
m1_manual_rep_apl_stg_pln_cnt_avg,220.9544014930725,0.0,75.0,220954401493072.5,True
ord_apl_suc_weighted_stg_num_180_day,220.02377605438232,0.0,75.0,220023776054382.34,True
d60_d90_apl_ord_cnt_rat_all,219.63605697949728,0.0,75.0,219636056979497.28,True
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,217.0981526374817,0.0,75.0,217098152637481.7,True
rsk_lmt_rate_ch_1m_grt_0p9_rate_24m,209.48145373662314,0.0,75.0,209481453736623.16,True
d720_due_repay_amt_avg_divide_d720_faqi_trade_amt_avg,200.64092270533243,0.0,75.0,200640922705332.44,True
12m_used_lmt_first_der_min,194.37012346585593,0.0,75.0,194370123465855.94,True
credit_fund_level2_reject_cnt_36m,193.1643484433492,0.0,75.0,193164348443349.22,True
his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,190.6802615324656,0.0,75.0,190680261532465.62,True
3m_used_lmt_first_der_small_0_sum,186.76902357737222,0.0,75.0,186769023577372.22,True
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,186.69450290997824,0.0,75.0,186694502909978.25,True
m6_manual_rep_apl_suc_amt_avg,186.20812924702963,0.0,75.0,186208129247029.62,True
d720_trade_fail_count_mon_divide_his_trade_success_count_mon,184.2505725224813,0.0,75.0,184250572522481.28,True
sum_talk_duration_30d,183.7300033569336,0.0,75.0,183730003356933.6,True
d180_adv_repay_fee_sum,182.85189978281656,0.0,75.0,182851899782816.56,True
credit_unique_scene_cnt_36m,182.28860553105673,0.0,75.0,182288605531056.75,True
used_rate_ch_grt_0p5_cnt_3m_suc,181.65783739089966,0.0,75.0,181657837390899.66,True
ddf_3m_rep_dte_5_crt_dt_sum_prc_amt,181.3560873667399,0.0,75.0,181356087366739.9,True
d1080_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,180.64042123158774,0.0,75.0,180640421231587.75,True
dvc_cnt_cjj_7,179.72206815083823,0.0,75.0,179722068150838.22,True
m6_stg_pln_d0_normal_batch_rep_apl_suc_cnt_rat,179.53952010472617,0.0,75.0,179539520104726.16,True
12m_used_lmt_first_der_mean_diff,178.37140035629272,0.0,75.0,178371400356292.72,True
stg_pln_pay_off_max_prc_amt_14d,176.0465284983317,0.0,75.0,176046528498331.7,True
stg_pln_sum_prc_amt_1m_ftr_his_rep_rto_all,175.5885559717814,0.0,75.0,175588555971781.4,True
d90_apl_ord_stg_num_min_all,175.2011340459188,0.0,75.0,175201134045918.78,True
12m_repay_amt_first_der_sum,174.26326036453247,0.0,75.0,174263260364532.47,True
avg_avl_lmt_lft_rep_prc_all_cash_36m,174.16305073102316,0.0,75.0,174163050731023.16,True
d360_apl_ord_prc_amt_min,174.09218192100525,0.0,75.0,174092181921005.25,True
d30_apl_ord_ddf_mdl_ord_crt_dte_min,171.45907084147134,0.0,75.0,171459070841471.34,True
12m_used_lmt_first_der_avg,166.96898651123047,0.0,75.0,166968986511230.47,True
min_ddf_mdl_rep_dte_ovd_3d_pls_bjq,166.50359670321146,0.0,75.0,166503596703211.47,True
max_rsk_avl_lmt_24m_bt_ch,164.2134149869283,0.0,75.0,164213414986928.3,True
rsk_avl_lmt_ch_1m_les_1000_rate_6m,163.3348658879598,0.0,75.0,163334865887959.8,True
his_trade_fail_count_mon_divide_his_trade_success_count_mon,161.29184261957803,0.0,75.0,161291842619578.03,True
3m_used_lmt_first_der_sum,159.14896217981973,0.0,75.0,159148962179819.75,True
stg_pln_cnt_adv_rep_bjq_12m_rto,156.95277706782022,0.0,75.0,156952777067820.22,True
rsk_lmt_rate_ch_1m_grt_0p9_cnt_6m,156.51192220052084,0.0,75.0,156511922200520.84,True
m6_stg_pln_his_ovd_manual_deduct_rep_apl_fal_cnt_rat,156.0323395729065,0.0,75.0,156032339572906.5,True
max_ddf_rep_tim_dte_adv,155.77584218978882,0.0,75.0,155775842189788.8,True
