feature,split,gain,rank
ord_apl_sum_prc_amt_90_day,10,40417.353327035904,1
ord_apl_max_prc_amt_180_day,21,33925.33762741089,2
d360_apl_ord_ddf_mdl_ord_crt_dte_min,66,24635.26468205452,3
unpaid_principal_future_light_add_heavy,30,14684.51038056612,4
d180_apl_ord_days_cnt_all,24,8441.133394956589,5
ord_apl_sum_prc_amt_360_day,38,7986.739725351334,6
his_180_day_csh_apl_ord_cnt_his_rto,8,3895.5049476623535,7
dau_90d,60,3044.96014213562,8
his_360_day_csh_apl_ord_cnt,17,2549.226490020752,9
d360_apl_ord_cnt_all,13,2464.591413974762,10
cnt_event_result_1_uid_recent_days_120,24,2224.276693344116,11
his_360_day_csh_apl_ord_cnt_his_rto,14,1754.5247049331665,12
ddf_lst_app_str_tim_to_mdl_tim_sec,86,1702.738429069519,13
cnt_other_info_cash_uid_recent_days_30,15,1569.689866065979,14
cnt_avg_ord_span_30d,23,1459.9426250457764,15
d90_aplord_suc_month_cnt,12,943.5442066192627,16
clk_cnt_14d,33,797.8499491214752,17
rsk_avl_lmt_ch_les_500_cnt_12m,16,752.1607961654663,18
stg_pln_max_rep_prc_1m_his,13,693.6483540534973,19
m1_stg_pln_d0_rep_apl_cnt,15,617.0217266082764,20
his_720_day_csh_apl_ord_cnt_his_rto,18,501.59309554100037,21
m6_stg_pln_d0_normal_batch_rep_apl_suc_cnt_rat,28,501.01934814453125,22
first_day_diff_event_result_0_event_type_loan_all,26,472.5954792499542,23
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,15,444.5909686088562,24
d360_due_repay_amt_avg_divide_d360_faqi_trade_amt_avg,20,444.43216371536255,25
18m_used_lmt_second_der_min,37,443.64449882507324,26
avg_avl_lmt_lft_rep_prc_3m_cash_1m,35,432.69722175598145,27
stg_pln_sum_prc_amt_6m_12m_ftr_rto_cash,26,428.2873878479004,28
ord_apl_min_prc_amt_his,38,410.0456998348236,29
ord_apl_cnt_07_12,29,379.79667949676514,30
cnt_avg_ord_span_30d_90d,17,357.40948510169983,31
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,13,355.6846504211426,32
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,37,353.8374001979828,33
m1_rep_apl_suc_amt_avg,14,338.1483292579651,34
min_rsk_avl_lmt_3m_bt_ch,19,334.01682901382446,35
sum_talk_duration_30d,20,329.0752124786377,36
ord_apl_fal_cnt_his,25,327.1918320655823,37
rsk_avl_lmt_ch_les_10000_cnt_3m,15,310.18403720855713,38
sum_talk_duration_180d,18,307.48536014556885,39
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,31,296.0214569568634,40
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_max,17,295.82159090042114,41
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,21,292.63834831118584,42
d360_apl_ord_prc_amt_min,19,280.8730878829956,43
d360_apl_ord_ddf_mdl_ord_crt_dte_max,17,280.50134086608887,44
lag_his_rep_amt_sum_per_mth_btch_rat_max,9,276.566734790802,45
6m_used_lmt_first_der_min,17,269.1796395778656,46
6m_used_lmt_second_der_min,18,267.01409888267517,47
credit_fund_level2_reject_cnt_36m,30,266.8082022666931,48
d1080_due_repay_amt_sum_divide_d1080_faqi_trade_amt_sum,25,264.2620728611946,49
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,26,261.32800102233887,50
stg_pln_cnt_3m_ftr_adv_rto_all,11,253.68172931671143,51
max_amt_other_info_manual_repay,22,252.18722891807556,52
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,9,244.76495742797852,53
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,20,244.13940811157227,54
stg_pln_pay_off_sum_prc_amt_1m_3m_rto,16,244.13425442576408,55
d60_d90_apl_ord_cnt_rat_all,8,243.7325713634491,56
12m_used_lmt_second_der_sum,19,238.7461895942688,57
6m_used_lmt_first_der_sum,16,236.0973390340805,58
12m_used_lmt_second_der_mean_diff,27,222.91660904884338,59
ord_apl_cnt_90_day_07_12,5,219.99539756774902,60
3stg_pln_repay_amt_first_der_stddev,28,216.56742388010025,61
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,18,210.41916275024414,62
6m_used_lmt_second_der_sum,25,208.1535691022873,63
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,22,207.63071542978287,64
d180_due_repay_amt_avg_divide_d180_faqi_trade_amt_avg,7,203.5129861831665,65
rsk_lmt_rate_ch_1m_grt_0p9_cnt_6m,10,202.02293062210083,66
d90_repaid_exclude_principal_fee_stddev,13,199.21629858016968,67
18m_used_lmt_first_der_sum,22,198.6223539710045,68
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,12,194.38525009155273,69
max_rsk_avl_lmt_bjq_12m_all,25,189.3726304769516,70
sum_avb_lmt_2m_v2,14,186.75567293167114,71
ddf_mdl_max_con_dau_dt_90d,16,184.14725065231323,72
18m_repay_ftr_amt_second_der_mean_diff,15,178.1408896446228,73
his_max_due_prc_amt_divide_his_max_faqi_prc_amt,19,171.62049078941345,74
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,19,170.79907059669495,75
d15_d360_apl_ord_prc_amt_avg_rat,7,168.3371000289917,76
max_con_dau_7d,9,163.254301071167,77
d30_d360_suc_ord_prc_amt_avg_rat_all,9,158.19473218917847,78
credit_min_limit_cnt_all,22,157.1422896385193,79
his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,20,147.32181572914124,80
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,8,143.8810691833496,81
div_amt_event_type_repay_loan,19,141.85057055950165,82
6m_used_lmt_first_der_max,14,141.4835592508316,83
ddf_36m_rep_dte_neg_5_crt_dt_rep_prc_amt_rto,11,138.88407111167908,84
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,7,133.07969093322754,85
his_max_faqi_prc_amt_divide_unpaid_principal_tot,8,130.69198894500732,86
d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,17,127.45958209037781,87
d720_due_repay_amt_sum_divide_d720_faqi_trade_amt_sum,13,123.88010737299919,88
3m_used_lmt_second_der_sum,12,112.34189200401306,89
ord_apl_fal_cnt_360_day,6,106.80230045318604,90
stg_pln_pay_off_sum_prc_amt_14d,10,103.64879035949707,91
his_trade_fail_count_mon_divide_his_trade_success_count_mon,12,99.26931428909302,92
min_ddf_mdl_rep_dte_his_bjq,9,98.77418208122253,93
d30_d90_suc_ord_prc_amt_avg_rat_all,5,75.96125173568726,94
min_rsk_lmt_rate_12m_bt_ch,5,47.35422992706299,95
his_90_day_csh_apl_ord_cnt_his_rto,5,37.5194296836853,96
