feature,split,gain,rank
ord_apl_sum_prc_amt_90_day,17,32657.22193211317,1
unpaid_principal_future_light_add_heavy,46,23871.175077676773,2
d360_apl_ord_ddf_mdl_ord_crt_dte_min,83,22024.34003329277,3
ord_apl_max_prc_amt_180_day,23,11958.976030349731,4
his_90_day_csh_apl_ord_cnt_his_rto,11,11779.834788501263,5
d180_apl_ord_days_cnt_all,42,9769.740108370781,6
his_180_day_csh_apl_ord_cnt_his_rto,16,9382.581570625305,7
cnt_event_result_1_uid_recent_days_120,35,6186.267160892487,8
ord_apl_sum_prc_amt_360_day,20,3678.1225247383118,9
his_360_day_csh_apl_ord_cnt_his_rto,20,1971.2368664741516,10
cnt_other_info_cash_uid_recent_days_30,29,1751.906457901001,11
dau_90d,64,1736.4431610107422,12
his_360_day_csh_apl_ord_cnt,13,1731.5202536582947,13
ddf_lst_app_str_tim_to_mdl_tim_sec,88,1280.2519062906504,14
cnt_avg_ord_span_30d,18,1274.7330092191696,15
his_720_day_csh_apl_ord_cnt_his_rto,34,1184.6183141469955,16
d90_aplord_suc_month_cnt,18,1097.3685789108276,17
rsi_abf_1y_inter_1m,51,885.8663162663579,18
d60_apl_ord_ddf_mdl_ord_crt_dte_max,31,671.5661893188953,19
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,39,665.3476374149323,20
d360_apl_ord_cnt_all,14,638.3624005317688,21
rsk_avl_lmt_ch_les_500_cnt_12m,21,606.4164047241211,22
min_rsk_lmt_rate_12m_bt_ch,34,591.9662499427795,23
af_6m_trend,33,574.8279795646667,24
stg_pln_max_rep_prc_1m_his,35,554.1761194467545,25
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,26,544.6376544237137,26
6m_used_lmt_first_der_min,37,522.2837915420532,27
clk_cnt_14d,32,503.2983341217041,28
first_day_diff_event_result_0_event_type_loan_all,34,496.562922000885,29
his_trade_fail_count_mon_divide_his_trade_success_count_mon,46,482.8026705980301,30
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,34,473.918270111084,31
max_avl_lmt_lft_rep_prc_1m_cash_3m,36,449.5291702747345,32
max_con_dau_7d,14,445.6477142572403,33
3m_repay_amt_second_der_min,25,413.21443939208984,34
ord_apl_cnt_07_12,35,413.02674424648285,35
tot_pending_repay_tot_fee_stddev,19,403.7497727870941,36
credit_fund_level2_reject_cnt_36m,56,392.2332196235657,37
ord_apl_fal_cnt_his,28,376.64389884471893,38
his_30d_app_str_ctn_v2,25,369.8191168308258,39
max_amt_other_info_manual_repay,42,369.46040880680084,40
m6_stg_pln_d0_normal_batch_rep_apl_suc_cnt_rat,37,368.97437930107117,41
percent_true_followup_code_other_call_mode_manual_30d,22,356.8252308368683,42
rsk_avl_lmt_ch_1m_les_1000_cnt_24m,31,354.2433726787567,43
min_rsk_lmt_rate_3m_bt_ch,41,348.36742946505547,44
ddf_ato_fst_ord_crt_dte,36,344.6708700656891,45
rsk_avl_lmt_ch_1m_les_1000_rate_24m,36,344.65809059143066,46
his_1080_day_prc_amt_3_000_flg_apl_ord_cnt,36,337.73491954803467,47
m1_stg_pln_d0_rep_apl_suc_cnt,13,325.8718693256378,48
d180_due_repay_amt_sum_divide_d180_faqi_trade_amt_sum,17,318.5821828842163,49
avg_avl_lmt_lft_rep_prc_all_cash_24m,46,316.1692707538605,50
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,41,315.61091923713684,51
d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,46,314.6680839061737,52
lst_app_str_hr,41,298.58770763874054,53
per_event_type_limit_all,33,291.4718365811568,54
stg_pln_avg_prc_amt_3m_6m_ftr_rto_all,26,287.6026813983917,55
used_rate_ch_grt_0p95_rate_1m,13,272.88813972473145,56
rsk_avl_lmt_ch_les_10000_cnt_3m,12,269.30447602272034,57
m1_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_sum,17,250.5782904624939,58
rsk_lmt_rate_ch_1m_grt_0p2_cnt_24m,22,246.4129033088684,59
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,30,241.51371148228645,60
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,15,234.69680833816528,61
ord_apl_sum_prc_amt_30_day_07_12,15,222.78427922725677,62
m1_stg_pln_d0_rep_apl_cnt,13,218.87327361106873,63
n_unique_other_info_event_type_credit,15,211.2290496826172,64
stg_pln_pay_off_sum_prc_amt_1m,13,206.54921770095825,65
d7_d360_suc_ord_prc_amt_avg_rat_all,13,159.53829908370972,66
cnt_ord_cnt_typ_btch_30d_90d,6,155.50427865982056,67
stg_pln_avg_prc_amt_6m_12m_ftr_rto_all,15,154.3031702041626,68
cnt_avb_lmt_2m_v2,4,144.77095580101013,69
ord_apl_sum_prc_amt_30_90_day_rto,9,131.32619327306747,70
d1080_due_repay_amt_sum_divide_d1080_faqi_trade_amt_sum,17,119.3916906118393,71
d180_suc_ord_cnt_all,10,112.51705980300903,72
ord_apl_cnt_30_day_07_12,8,109.72208601236343,73
