feature,non_null_rate,unique_count,drop_reason
max_ctn_ovd_day,1.0,71,
not_ovd_tqhk_rep_tim_cnt_12m,1.0,60,
ddf_mdl_max_not_ovd_tqhk_rep_tim_12m,0.18895126043457547,360,
ddf_mdl_max_con_not_ovd_tqhk_rep_tim_12m,0.05087308656295959,355,
max_con_not_ovd_tqhk_rep_tim_cnt_5m,1.0,16,
max_con_not_ovd_tqhk_rep_tim_cnt_12m,1.0,22,
not_ovd_tqhk_rep_tim_cnt_3m,1.0,21,
lag_his_rep_amt_sum_per_mth_btch_rat_mor_50_per_cnt,0.41282598338753446,5,
d30_d60_his_rep_amt_sum_rat_btch,0.47476023779439486,14955,
d90_d360_his_rep_amt_sum_rat_btch,0.47476023779439486,15298,
lag_his_rep_amt_sum_per_mth_all_rat_max,0.3855251983346107,17140,
lag_his_rep_amt_sum_per_mth_btch_rat_max,0.3792696315015432,16760,
m6_up_flg_btch_cnt_rat,0.41282598338753446,12,
d30_d180_his_rep_amt_sum_rat_all,0.47476023779439486,15777,
d30_his_rep_amt_sum_btch,0.47476023779439486,15454,
d180_d360_his_rep_amt_sum_rat_all,0.47476023779439486,14937,
min_avl_lmt_lft_rep_prc_all_cash_bjq_12m,0.5500548915632703,12456,
rsk_lmt_rate_ch_1m_grt_0p2_cnt_bjq_12m,0.6049050272386437,131,
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,0.6026472233154504,1874,
rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,0.6049050272386437,137,
min_rsk_avl_lmt_bjq_12m_all,0.5999958572405079,9712,
max_rsk_lmt_rate_bjq_12m_all,0.592580317749653,10205,
min_avl_lmt_lft_rep_prc_2m_cash_bjq_12m,0.5500134639683493,12592,
rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,0.6026472233154504,1651,
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,0.6026472233154504,1755,
rsk_lmt_rate_ch_1m_grt_0p9_cnt_bjq_12m,0.6049050272386437,174,
min_rsk_lmt_rate_bjq_12m_all,0.592580317749653,15820,
avg_avl_lmt_lft_rep_prc_all_cash_bjq_12m,0.5500548915632703,25761,
rsk_lmt_rate_ch_1m_grt_0p95_rate_bjq_12m,0.6026472233154504,1667,
rsk_lmt_rate_ch_1m_grt_0p5_rate_bjq_12m,0.6026472233154504,2130,
max_avl_lmt_lft_rep_prc_3m_cash_bjq_12m,0.5500134639683493,25239,
rsk_avl_lmt_ch_1m_les_10000_cnt_bjq_12m,0.6049050272386437,240,
max_rsk_avl_lmt_bjq_12m_all,0.5999958572405079,21365,
stg_pln_sum_rep_prc_3m_his_d0_non_zd_rto_v2,0.3352113843030843,2445,
stg_pln_sum_rep_prc_1m_his_d0_evn_zd_rto_v2,0.3053835159599809,660,
stg_pln_sum_rep_prc_1m_his_ovd_14d_pls_30d_zd_rto_v2,0.3053835159599809,20,
stg_pln_sum_rep_prc_1m_his_d0_afn_pk_rto_v2,0.3053835159599809,598,
stg_pln_sum_rep_prc_12m_his_ovd_0d_pls_3d_mrn_pk_rto_v2,0.43936035793442013,2793,
stg_pln_sum_rep_prc_12m_his_ovd_14d_pls_30d_zd_rto_v2,0.43936035793442013,160,
stg_pln_sum_rep_prc_1m_his_d0_afn_zd_rto_v2,0.3053835159599809,1409,
stg_pln_sum_rep_prc_3m_his_d0_afn_zd_rto_v2,0.3352113843030843,3405,
stg_pln_sum_rep_prc_1m_his_ovd_3d_pls_7d_zd_rto_v2,0.3053835159599809,184,
stg_pln_sum_rep_prc_6m_his_ovd_7d_pls_14d_afn_pk_rto_v2,0.37085982973258486,36,
stg_pln_sum_rep_prc_12m_his_ovd_3d_pls_7d_afn_pk_rto_v2,0.43936035793442013,150,
stg_pln_sum_rep_prc_6m_his_ovd_14d_pls_30d_afn_pk_rto_v2,0.37085982973258486,21,
stg_pln_sum_rep_prc_1m_his_ovd_14d_pls_30d_mrn_pk_rto_v2,0.3053835159599809,3,
stg_pln_sum_rep_prc_12m_his_ovd_m2_pls_zd_rto_v2,0.43936035793442013,22,
stg_pln_sum_rep_prc_1m_his_ovd_7d_pls_14d_afn_pk_rto_v2,0.3053835159599809,12,
stg_pln_sum_rep_prc_1m_his_d0_mrn_zd_rto_v2,0.3053835159599809,2284,
stg_pln_sum_rep_prc_his_d0_evn_zd_rto_v2,0.9962715164571121,13030,
stg_pln_sum_rep_prc_12m_his_ovd_7d_pls_14d_afn_pk_rto_v2,0.43936035793442013,60,
stg_pln_sum_rep_prc_3m_his_ovd_3d_pls_7d_zd_rto_v2,0.3352113843030843,476,
stg_pln_sum_rep_prc_3m_his_ovd_m2_pls_zd_rto_v2,0.3352113843030843,8,
stg_pln_sum_rep_prc_3m_his_ovd_3d_pls_7d_mrn_pk_rto_v2,0.3352113843030843,50,
stg_pln_sum_rep_prc_3m_his_d0_dwn_zd_rto_v2,0.3352113843030843,2153,
stg_pln_sum_rep_prc_12m_his_ovd_m2_pls_mrn_pk_rto_v2,0.43936035793442013,2,
stg_pln_sum_rep_prc_1m_his_d0_dwn_zd_rto_v2,0.3053835159599809,869,
stg_pln_sum_rep_prc_1m_his_ovd_0d_pls_3d_zd_rto_v2,0.3053835159599809,1062,
stg_pln_sum_rep_prc_6m_his_ovd_14d_pls_30d_mrn_pk_rto_v2,0.37085982973258486,15,
stg_pln_sum_rep_prc_his_ovd_0d_pls_3d_zd_rto_v2,0.9962715164571121,19099,
stg_pln_sum_rep_prc_12m_his_d0_non_zd_rto_v2,0.43936035793442013,5653,
stg_pln_sum_rep_prc_3m_his_ovd_3d_pls_7d_afn_pk_rto_v2,0.3352113843030843,48,
stg_pln_sum_rep_prc_12m_his_ovd_7d_pls_14d_zd_rto_v2,0.43936035793442013,401,
