feature,non_null_rate,unique_count,drop_reason
ord_apl_sum_prc_amt_90_day,1.0,3623,
ord_apl_max_prc_amt_180_day,1.0,1919,
his_90_day_csh_apl_ord_cnt_his_rto,0.9982428123218806,2558,
unpaid_principal_future_light_add_heavy,1.0,244676,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,0.4370909352325886,360,
d180_apl_ord_days_cnt_all,0.44795961857422345,179,
ord_apl_sum_prc_amt_360_day,1.0,9550,
cnt_event_result_1_uid_recent_days_120,1.0,435,
his_180_day_csh_apl_ord_cnt_his_rto,0.9982428123218806,3517,
his_360_day_csh_apl_ord_cnt,1.0,160,
cnt_other_info_cash_uid_recent_days_30,1.0,46,
dau_90d,1.0,91,
cnt_avg_ord_span_30d,0.12827572749726562,2219,
ddf_lst_app_str_tim_to_mdl_tim_sec,0.31435276235859566,273986,
his_720_day_csh_apl_ord_cnt_his_rto,0.9982428123218806,4890,
rsk_avl_lmt_ch_les_10000_cnt_3m,0.26537436518899266,56,
stg_pln_max_rep_prc_1m_his,1.0,104532,
clk_cnt_14d,1.0,842,
d30_d60_apl_ord_cnt_rat,0.4370909352325886,210,
min_rsk_lmt_rate_12m_bt_ch,0.49048848995856076,202167,
rsk_avl_lmt_ch_les_500_cnt_12m,0.4502652213430008,96,
sum_avb_lmt_2m_v2,0.33886814930446796,301091,
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,0.4322558448827429,300888,
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,0.35633424564682686,7,
first_day_diff_event_result_0_event_type_loan_all,0.6110668932901311,3287,
avg_avl_lmt_lft_rep_prc_3m_cash_1m,0.3089620679562295,278841,
d360_apl_ord_cnt_all,0.44795961857422345,940,
6m_used_lmt_first_der_max,0.9990664619524193,326187,
ord_apl_fal_cnt_his,1.0,203,
d90_aplord_suc_month_cnt,0.26431245282243776,5,
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,0.2110145165679896,188321,
stg_pln_sum_prc_amt_6m_12m_rto_ftr,0.22628079058040598,190358,
ord_apl_min_prc_amt_his,1.0,31540,
ddf_ato_fst_ord_crt_dte,0.9972877073887123,3244,
d30_d360_suc_ord_prc_amt_avg_rat_all,0.3777861078446979,31054,
6m_used_lmt_first_der_min,0.9990664619524193,381028,
d7_d360_suc_ord_prc_amt_avg_rat_all,0.3777861078446979,13268,
stg_pln_cnt_3m_ftr_adv_rto_all,0.359104049953015,1866,
rsk_avl_lmt_ch_les_1000_cnt_3m,0.26537436518899266,43,
stg_pln_pay_off_sum_prc_amt_1m,1.0,197304,
max_avl_lmt_lft_rep_prc_1m_cash_3m,0.333735230534602,297469,
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,0.5666719728051842,110,
d180_suc_ord_cnt_all,0.3777861078446979,193,
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,0.9964281129488608,593774,
d30_d90_suc_ord_prc_amt_avg_rat_all,0.3777861078446979,15843,
