feature,gain,split
d360_apl_ord_ddf_mdl_ord_crt_dte_min,239330.22406196594,117
ord_apl_sum_prc_amt_90_day,229099.3770866394,13
unpaid_principal_future_light_add_heavy,210485.96908473969,51
ord_apl_max_prc_amt_180_day,153040.0790257454,17
his_90_day_csh_apl_ord_cnt_his_rto,150730.3122677803,16
d180_apl_ord_days_cnt_all,96063.68412017822,48
cnt_event_result_1_uid_recent_days_120,73284.42913770676,47
his_180_day_csh_apl_ord_cnt_his_rto,62487.77772474289,34
ord_apl_sum_prc_amt_360_day,58402.19953870773,40
his_360_day_csh_apl_ord_cnt,44345.47892284393,57
d360_apl_ord_cnt_all,30978.146545410156,23
dau_90d,26744.41838502884,134
cnt_other_info_cash_uid_recent_days_30,21072.416894435883,68
cnt_avg_ord_span_30d,14008.957391262054,31
stg_pln_pay_off_sum_prc_amt_1m,12468.540348052979,35
ddf_lst_app_str_tim_to_mdl_tim_sec,9850.628667354584,204
his_720_day_csh_apl_ord_cnt_his_rto,9605.521550655365,82
rsk_avl_lmt_ch_les_10000_cnt_3m,6336.732940196991,24
clk_cnt_14d,6314.890236377716,106
stg_pln_max_rep_prc_1m_his,6018.960213661194,23
avg_avl_lmt_lft_rep_prc_3m_cash_1m,5483.466840744019,67
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,4113.451739549637,81
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,3927.3798484802246,137
first_day_diff_event_result_0_event_type_loan_all,3848.318197250366,94
rsk_avl_lmt_ch_les_500_cnt_12m,3460.529302597046,39
pst_ord_apl_suc_max_prc_amt_180_day,3317.378321647644,13
sum_avb_lmt_2m_v2,3167.765347957611,91
stg_pln_cnt_3m_ftr_adv_rto_all,3129.448363304138,65
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,2475.3724751472473,19
stg_pln_sum_prc_amt_6m_12m_rto_ftr,2113.98199737072,48
6thord_con_dsc_apply_amt_max,2032.4989929199219,4
d90_aplord_suc_month_cnt,1909.9927711486816,14
6m_used_lmt_first_der_max,1861.851185798645,16
d7_d360_suc_ord_prc_amt_avg_rat_all,1857.8920974731445,56
ddf_mdl_lst_ord_crt_dte,1766.1729580163956,64
6m_used_lmt_first_der_min,1714.5923557281494,39
d720_due_repay_amt_avg_divide_d720_faqi_trade_amt_avg,1682.4631752967834,32
ord_apl_fal_cnt_his,1666.8255751132965,77
max_avl_lmt_lft_rep_prc_1m_cash_3m,1628.502788066864,41
rsk_avl_lmt_ch_les_5000_rate_1m,1602.657829284668,8
min_rsk_lmt_rate_12m_bt_ch,1552.4623384475708,34
d30_d60_apl_ord_cnt_rat,1459.3521604537964,9
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,1377.373987197876,12
ddf_3m_rep_dte_neg_3_crt_dt_max_prc_amt,1376.3475723266602,10
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,1374.3523359298706,24
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,1365.6654031276703,24
d15_suc_ord_prc_amt_avg_all,1340.1872262954712,53
cnt_avg_ord_span_30d_90d,1327.0882892608643,26
d30_d360_suc_ord_prc_amt_avg_rat_all,1309.4243159294128,25
percent_true_followup_code_other_call_mode_manual_30d,1278.2855405807495,24
rsk_avl_lmt_ch_1m_les_500_cnt_3m,1275.4315667152405,20
d180_suc_ord_cnt_all,1247.6475286483765,7
ord_apl_min_prc_amt_his,1212.1230120658875,34
af_1y_inter_3m_sum_up,1169.037769973278,32
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,1166.2821230888367,39
max_amt_other_info_manual_repay,1136.6009669303894,39
d180_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,1119.0050296783447,35
max_con_dau_7d,1109.6918840408325,17
credit_unique_scene_cnt_12m,1084.7607588768005,46
first_amt_event_type_credit_all,1084.2812960147858,67
6m_used_lmt_second_der_sum,1032.56152009964,64
his_max_faqi_prc_amt_divide_unpaid_principal_tot,1008.656852722168,28
min_rsk_avl_lmt_12m_bt_ch,996.4631805419922,25
d1080_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,964.8701906204224,42
abf_1y_inter_1m_count_up,961.980420589447,34
his_light_limit_divide_btch_avl_limit,949.4210820198059,48
m1_manual_rep_apl_stg_pln_cnt_avg,903.1562533378601,33
max_ddf_lag_crt_dte,899.5183267593384,55
rsk_avl_lmt_ch_les_1000_cnt_3m,890.0272121429443,15
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,889.2480735778809,21
m6_stg_pln_his_ovd_manual_deduct_rep_apl_fal_cnt_rat,872.8160724639893,29
ddf_ato_fst_ord_crt_dte,862.9812107086182,48
12m_used_lmt_second_der_max,842.6665115356445,38
6m_used_lmt_first_der_median,839.3329916000366,28
d30_d90_suc_ord_prc_amt_avg_rat_all,837.7708864212036,19
rsk_avl_lmt_ch_1m_les_500_rate_3m,834.4423756599426,30
d360_apl_ord_ddf_mdl_ord_crt_dte_max,833.1526379585266,36
rsk_lmt_rate_ch_1m_grt_0p8_cnt_1m,828.9542102813721,11
per_event_type_limit_all,824.0453722476959,56
rsk_lmt_rate_ch_1m_grt_0p5_rate_6m,821.4397406578064,18
stg_pln_pay_off_cnt_bjq_12m,820.0204861164093,36
ai_call_cnt_21d,803.6516003608704,34
d180_max_due_prc_amt_divide_d180_max_faqi_prc_amt,792.9089305400848,28
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,787.8349812030792,28
stg_pln_sum_rep_prc_his_d0_mrn_pk_rto_v2,763.3258689641953,60
rsk_lmt_rate_ch_1m_grt_0p2_cnt_24m,753.9986095428467,22
d1080_due_repay_amt_sum_divide_d1080_faqi_trade_amt_sum,753.996261537075,35
d360_suc_ord_ddf_mdl_ord_crt_dte_min,748.8095421791077,37
cnt_avb_lmt_2m_v2,735.1499571800232,13
credit_unique_scene_cnt_36m,734.9426512718201,29
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,697.2522812485695,36
d1080_avg_due_pay_amt_sum_by_mon_divide_rsk_adt_lmt_cash,696.7404897212982,56
his_trade_fail_count_mon_divide_his_trade_success_count_mon,693.5604586601257,43
