output_feature,source_feature,source_table,extract_table_alias,is_output_renamed
ord_apl_sum_prc_amt_90_day,ord_apl_sum_prc_amt_90_day,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,t2,False
ord_apl_max_prc_amt_180_day,ord_apl_max_prc_amt_180_day,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,t2,False
ord_apl_sum_prc_amt_360_day,ord_apl_sum_prc_amt_360_day,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,t2,False
his_180_day_csh_apl_ord_cnt_his_rto,his_180_day_csh_apl_ord_cnt_his_rto,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,t2,False
his_360_day_csh_apl_ord_cnt,his_360_day_csh_apl_ord_cnt,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,t2,False
his_360_day_csh_apl_ord_cnt_his_rto,his_360_day_csh_apl_ord_cnt_his_rto,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,t2,False
ord_apl_min_prc_amt_his,ord_apl_min_prc_amt_his,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,t2,False
ord_apl_fal_cnt_his,ord_apl_fal_cnt_his,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,t2,False
ord_apl_cnt_90_day_07_12,ord_apl_cnt_90_day_07_12,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,t2,False
ord_apl_fal_cnt_360_day,ord_apl_fal_cnt_360_day,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,t2,False
his_90_day_csh_apl_ord_cnt_his_rto,his_90_day_csh_apl_ord_cnt_his_rto,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_7fst_9all_10cur_11lst_orders_info_df_feature,t2,False
d360_apl_ord_ddf_mdl_ord_crt_dte_min,d360_apl_ord_ddf_mdl_ord_crt_dte_min,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_final_order_info_df_feature,t3,False
d180_apl_ord_days_cnt_all,d180_apl_ord_days_cnt_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_final_order_info_df_feature,t3,False
d360_apl_ord_cnt_all,d360_apl_ord_cnt_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_final_order_info_df_feature,t3,False
d360_apl_ord_prc_amt_min,d360_apl_ord_prc_amt_min,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_final_order_info_df_feature,t3,False
d360_apl_ord_ddf_mdl_ord_crt_dte_max,d360_apl_ord_ddf_mdl_ord_crt_dte_max,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_final_order_info_df_feature,t3,False
d60_d90_apl_ord_cnt_rat_all,d60_d90_apl_ord_cnt_rat_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_final_order_info_df_feature,t3,False
d15_d360_apl_ord_prc_amt_avg_rat,d15_d360_apl_ord_prc_amt_avg_rat,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_final_order_info_df_feature,t3,False
d30_d360_suc_ord_prc_amt_avg_rat_all,d30_d360_suc_ord_prc_amt_avg_rat_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_final_order_info_df_feature,t3,False
d30_d90_suc_ord_prc_amt_avg_rat_all,d30_d90_suc_ord_prc_amt_avg_rat_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_pdm_risk_dz_model_final_order_info_df_feature,t3,False
unpaid_principal_future_light_add_heavy,unpaid_principal_future_light_add_heavy,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_30light_cross_heavy_inner_behaviour_df_feature,t4,False
dau_90d,dau_90d,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_8active_dau_feature,t5,False
ddf_mdl_max_con_dau_dt_90d,ddf_mdl_max_con_dau_dt_90d,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_8active_dau_feature,t5,False
max_con_dau_7d,max_con_dau_7d,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_8active_dau_feature,t5,False
cnt_event_result_1_uid_recent_days_120,cnt_event_result_1_uid_recent_days_120,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_22pip_heavy_cross_info_df_feature,t6,False
